dataset,attack,successful_attacks,skipped,failed_attacks,success_rate,percent_skipped,avg_words_per_input,original_accuracy,attacked_accuracy,avg_num_modified_words_per_sent,time_per_sent
yelp,TextFoolerJin2019AdjustedUSE,3,14,983,0.0030425963488843813,0.014,137.289,0.986,0.983,1.6666666666666667,22.324617391824724
yelp,TextFoolerJin2019BERT,885,14,101,0.8975659229208925,0.014,137.289,0.986,0.101,15.736723163841807,16.17611993789673
yelp,SPETFAdjusted,81,14,905,0.0821501014198783,0.014,137.289,0.986,0.905,14.54320987654321,36.921404597997665
yelp,TextFoolerJin2019,892,14,94,0.9046653144016227,0.014,137.289,0.986,0.094,14.609865470852018,13.873853851079941
yelp,SPETextFooler,862,14,124,0.8742393509127789,0.014,137.289,0.986,0.124,13.947795823665894,14.791791892051696
yelp,TextFoolerJin2019Adjusted,23,14,963,0.02332657200811359,0.014,137.289,0.986,0.963,7.782608695652174,32.94610682916641
hate,TextFoolerJin2019Adjusted,51,99,850,0.05660377358490566,0.099,20.63,0.901,0.85,2.9411764705882355,1.1870042610168456
hate,SPETextFooler,591,99,310,0.655937846836848,0.099,20.63,0.901,0.31,3.984771573604061,1.865265296459198
hate,TextFoolerJin2019,623,99,278,0.6914539400665927,0.099,20.63,0.901,0.278,4.304975922953451,2.111064193248749
hate,SPETFAdjusted,97,99,804,0.1076581576026637,0.099,20.63,0.901,0.804,2.5670103092783507,1.043580512046814
hate,TextFoolerJin2019AdjustedUSE,23,99,878,0.025527192008879023,0.099,20.63,0.901,0.878,2.0,0.7714998736381531
hate,TextFoolerJin2019BERT,593,99,308,0.658157602663707,0.099,20.63,0.901,0.308,4.279932546374368,2.2739364392757415
offensive,SPETextFooler,591,135,274,0.6832369942196532,0.135,21.859,0.865,0.274,3.676818950930626,1.5588929498195647
offensive,TextFoolerJin2019AdjustedUSE,9,135,856,0.010404624277456647,0.135,21.859,0.865,0.856,2.0,0.8646117875576019
offensive,TextFoolerJin2019Adjusted,47,135,818,0.05433526011560694,0.135,21.859,0.865,0.818,2.276595744680851,1.1673558542728424
offensive,TextFoolerJin2019,652,135,213,0.753757225433526,0.135,21.859,0.865,0.213,3.803680981595092,1.7493484585285186
offensive,TextFoolerJin2019BERT,555,135,310,0.6416184971098265,0.135,21.859,0.865,0.31,4.263063063063063,1.9549245615005493
offensive,SPETFAdjusted,101,135,764,0.11676300578034682,0.135,21.859,0.865,0.764,2.3168316831683167,1.0535653104782106
imdb,SPETextFooler,967,32,1,0.9989669421487604,0.032,232.62,0.968,0.001,9.280248190279215,8.103150832891464
imdb,TextFoolerJin2019BERT,967,32,1,0.9989669421487604,0.032,232.62,0.968,0.001,11.295760082730093,8.92037212252617
imdb,SPETFAdjusted,286,32,682,0.29545454545454547,0.032,232.62,0.968,0.682,16.83916083916084,68.2374451379776
imdb,TextFoolerJin2019,967,32,1,0.9989669421487604,0.032,232.62,0.968,0.001,10.243019648397105,7.319344295740128
imdb,TextFoolerJin2019Adjusted,87,32,881,0.08987603305785125,0.032,232.62,0.968,0.881,13.74712643678161,69.8946410882473
imdb,TextFoolerJin2019AdjustedUSE,11,32,957,0.011363636363636364,0.032,232.62,0.968,0.957,3.5454545454545454,57.482051649570465
rotten,TextFoolerJin2019AdjustedUSE,3,0,997,0.003,0.0,20.749,1.0,0.997,2.0,0.5129740242958069
rotten,SPETextFooler,890,0,110,0.89,0.0,20.749,1.0,0.11,2.657303370786517,0.7463771469593048
rotten,SPETFAdjusted,126,0,874,0.126,0.0,20.749,1.0,0.874,2.5634920634920637,0.7739140951633453
rotten,TextFoolerJin2019BERT,927,0,73,0.927,0.0,20.749,1.0,0.073,2.8932038834951457,0.9862843508720398
rotten,TextFoolerJin2019Adjusted,57,0,943,0.057,0.0,20.749,1.0,0.943,2.9473684210526314,0.9931209032535553
rotten,TextFoolerJin2019,964,0,36,0.964,0.0,20.749,1.0,0.036,2.737551867219917,0.8238802626132965
